school,discipline,teacher,id_student,student,behavior,start_time,end_time,duration_seconds,date,source
Escola Estadual Criança Esperança,Matemática,Professora_Ana,103cd95d53cd1719703a66a87bad8e14da505b034d046656390724a3abc9cf06,Starley,Atento,2026-03-12 08:00:00,2026-03-12 08:06:39,399.0,2026-03-12,simulated
Escola Estadual Criança Esperança,Matemática,Professora_Ana,103cd95d53cd1719703a66a87bad8e14da505b034d046656390724a3abc9cf06,Starley,Distraido,2026-03-12 08:06:47,2026-03-12 08:09:31,164.0,2026-03-12,simulated
Escola Estadual Criança Esperança,Matemática,Professora_Ana,103cd95d53cd1719703a66a87bad8e14da505b034d046656390724a3abc9cf06,Starley,Atento,2026-03-12 08:09:31,2026-03-12 08:16:20,409.0,2026-03-12,simulated
Escola Estadual Criança Esperança,Matemática,Professora_Ana,103cd95d53cd1719703a66a87bad8e14da505b034d046656390724a3abc9cf06,Starley,Distraido,2026-03-12 08:16:23,2026-03-12 08:19:12,169.0,2026-03-12,simulated
Escola Estadual Criança Esperança,Matemática,Professora_Ana,103cd95d53cd1719703a66a87bad8e14da505b034d046656390724a3abc9cf06,Starley,Atento,2026-03-12 08:19:15,2026-03-12 08:27:59,524.0,2026-03-12,simulated
Escola Estadual Criança Esperança,Matemática,Professora_Ana,103cd95d53cd1719703a66a87bad8e14da505b034d046656390724a3abc9cf06,Starley,Perguntando,2026-03-12 08:28:00,2026-03-12 08:28:17,17.0,2026-03-12,simulated
Escola Estadual Criança Esperança,Matemática,Professora_Ana,103cd95d53cd1719703a66a87bad8e14da505b034d046656390724a3abc9cf06,Starley,Atento,2026-03-12 08:28:23,2026-03-12 08:33:55,332.0,2026-03-12,simulated
Escola Estadual Criança Esperança,Matemática,Professora_Ana,103cd95d53cd1719703a66a87bad8e14da505b034d046656390724a3abc9cf06,Starley,Perguntando,2026-03-12 08:34:01,2026-03-12 08:34:19,18.0,2026-03-12,simulated
Escola Estadual Criança Esperança,Matemática,Professora_Ana,103cd95d53cd1719703a66a87bad8e14da505b034d046656390724a3abc9cf06,Starley,Atento,2026-03-12 08:34:25,2026-03-12 08:40:04,339.0,2026-03-12,simulated
Escola Estadual Criança Esperança,Matemática,Professora_Ana,103cd95d53cd1719703a66a87bad8e14da505b034d046656390724a3abc9cf06,Starley,Perguntando,2026-03-12 08:40:10,2026-03-12 08:40:33,23.0,2026-03-12,simulated
Escola Estadual Criança Esperança,Matemática,Professora_Ana,103cd95d53cd1719703a66a87bad8e14da505b034d046656390724a3abc9cf06,Starley,Distraido,2026-03-12 08:40:33,2026-03-12 08:42:13,100.0,2026-03-12,simulated
Escola Estadual Criança Esperança,Matemática,Professora_Ana,103cd95d53cd1719703a66a87bad8e14da505b034d046656390724a3abc9cf06,Starley,Atento,2026-03-12 08:42:21,2026-03-12 08:54:08,707.0,2026-03-12,simulated
Escola Estadual Criança Esperança,Matemática,Professora_Ana,103cd95d53cd1719703a66a87bad8e14da505b034d046656390724a3abc9cf06,Starley,Perguntando,2026-03-12 08:54:08,2026-03-12 08:54:19,11.0,2026-03-12,simulated
Escola Estadual Criança Esperança,Matemática,Professora_Ana,103cd95d53cd1719703a66a87bad8e14da505b034d046656390724a3abc9cf06,Starley,Atento,2026-03-12 08:54:25,2026-03-12 08:59:58,333.0,2026-03-12,simulated
Escola Estadual Criança Esperança,Matemática,Professora_Ana,103cd95d53cd1719703a66a87bad8e14da505b034d046656390724a3abc9cf06,Starley,Agitado,2026-03-12 09:00:00,2026-03-12 09:01:06,66.0,2026-03-12,simulated
Escola Estadual Criança Esperança,Matemática,Professora_Ana,103cd95d53cd1719703a66a87bad8e14da505b034d046656390724a3abc9cf06,Starley,Atento,2026-03-12 09:01:13,2026-03-12 09:10:34,561.0,2026-03-12,simulated
Escola Estadual Criança Esperança,Matemática,Professora_Ana,103cd95d53cd1719703a66a87bad8e14da505b034d046656390724a3abc9cf06,Starley,Distraido,2026-03-12 09:10:38,2026-03-12 09:12:09,91.0,2026-03-12,simulated
Escola Estadual Criança Esperança,Matemática,Professora_Ana,103cd95d53cd1719703a66a87bad8e14da505b034d046656390724a3abc9cf06,Starley,Atento,2026-03-12 09:12:17,2026-03-12 09:17:20,303.0,2026-03-12,simulated
Escola Estadual Criança Esperança,Matemática,Professora_Ana,103cd95d53cd1719703a66a87bad8e14da505b034d046656390724a3abc9cf06,Starley,Perguntando,2026-03-12 09:17:21,2026-03-12 09:17:45,24.0,2026-03-12,simulated
Escola Estadual Criança Esperança,Matemática,Professora_Ana,103cd95d53cd1719703a66a87bad8e14da505b034d046656390724a3abc9cf06,Starley,Atento,2026-03-12 09:17:46,2026-03-12 09:27:58,612.0,2026-03-12,simulated
Escola Estadual Criança Esperança,Matemática,Professora_Ana,103cd95d53cd1719703a66a87bad8e14da505b034d046656390724a3abc9cf06,Starley,Perguntando,2026-03-12 09:28:05,2026-03-12 09:28:19,14.0,2026-03-12,simulated
Escola Estadual Criança Esperança,Matemática,Professora_Ana,103cd95d53cd1719703a66a87bad8e14da505b034d046656390724a3abc9cf06,Starley,Distraido,2026-03-12 09:28:21,2026-03-12 09:29:57,96.0,2026-03-12,simulated
Escola Estadual Criança Esperança,Matemática,Professora_Ana,103cd95d53cd1719703a66a87bad8e14da505b034d046656390724a3abc9cf06,Starley,Atento,2026-03-12 09:30:05,2026-03-12 09:36:16,371.0,2026-03-12,simulated
Escola Estadual Criança Esperança,Matemática,Professora_Ana,103cd95d53cd1719703a66a87bad8e14da505b034d046656390724a3abc9cf06,Starley,Dormindo,2026-03-12 09:36:17,2026-03-12 09:41:03,286.0,2026-03-12,simulated
Escola Estadual Criança Esperança,Matemática,Professora_Ana,103cd95d53cd1719703a66a87bad8e14da505b034d046656390724a3abc9cf06,Starley,Atento,2026-03-12 09:41:07,2026-03-12 09:46:41,334.0,2026-03-12,simulated
Escola Estadual Criança Esperança,Matemática,Professora_Ana,103cd95d53cd1719703a66a87bad8e14da505b034d046656390724a3abc9cf06,Starley,Perguntando,2026-03-12 09:46:41,2026-03-12 09:47:02,21.0,2026-03-12,simulated
Escola Estadual Criança Esperança,Matemática,Professora_Ana,103cd95d53cd1719703a66a87bad8e14da505b034d046656390724a3abc9cf06,Starley,Atento,2026-03-12 09:47:09,2026-03-12 09:54:31,442.0,2026-03-12,simulated
Escola Estadual Criança Esperança,Matemática,Professora_Ana,103cd95d53cd1719703a66a87bad8e14da505b034d046656390724a3abc9cf06,Starley,Distraido,2026-03-12 09:54:36,2026-03-12 09:56:25,109.0,2026-03-12,simulated
Escola Estadual Criança Esperança,Matemática,Professora_Ana,103cd95d53cd1719703a66a87bad8e14da505b034d046656390724a3abc9cf06,Starley,Atento,2026-03-12 09:56:32,2026-03-12 10:02:29,357.0,2026-03-12,simulated
Escola Estadual Criança Esperança,Matemática,Professora_Ana,103cd95d53cd1719703a66a87bad8e14da505b034d046656390724a3abc9cf06,Starley,Agitado,2026-03-12 10:02:37,2026-03-12 10:03:37,60.0,2026-03-12,simulated
Escola Estadual Criança Esperança,Matemática,Professora_Ana,103cd95d53cd1719703a66a87bad8e14da505b034d046656390724a3abc9cf06,Starley,Atento,2026-03-12 10:03:40,2026-03-12 10:14:14,634.0,2026-03-12,simulated
Escola Estadual Criança Esperança,Matemática,Professora_Ana,103cd95d53cd1719703a66a87bad8e14da505b034d046656390724a3abc9cf06,Starley,Perguntando,2026-03-12 10:14:16,2026-03-12 10:14:40,24.0,2026-03-12,simulated
Escola Estadual Criança Esperança,Matemática,Professora_Ana,103cd95d53cd1719703a66a87bad8e14da505b034d046656390724a3abc9cf06,Starley,Atento,2026-03-12 10:14:40,2026-03-12 10:21:59,439.0,2026-03-12,simulated
Escola Estadual Criança Esperança,Matemática,Professora_Ana,103cd95d53cd1719703a66a87bad8e14da505b034d046656390724a3abc9cf06,Starley,Distraido,2026-03-12 10:22:06,2026-03-12 10:24:04,118.0,2026-03-12,simulated
